datetime,Unnamed: 0,open,high,low,close,volume,HA_close,HA_open,HA_high,HA_low,RSI,MACD,MACD_Signal,MACD_Hist,ema_05,ema_10,ema_30,ATR,signals,trade_type
2019-10-17,39,7994.76,8124.63,7930.0,8069.2,58354.602,8029.6475,8076.38,8124.63,7930.0,30.56961422809259,-288.9053425180864,-344.0570048892666,55.15166237118018,8154.215895454912,8221.141846045024,8624.970029671156,364.80347299129556,0,Hold
2019-10-18,40,8069.41,8117.3,7812.0,7943.94,75251.352,7985.662499999999,8031.98,8117.3,7812.0,29.613863167928102,-288.43216505660166,-332.93203692273363,44.49987186613197,8098.031430303276,8178.327419491383,8583.7243825956,360.5532249204888,0,Hold
2019-10-19,41,7945.57,8108.54,7852.12,7947.13,78024.395,7963.34,8006.674999999999,8108.54,7852.12,29.116338623704777,-286.55517798499386,-323.6566651351857,37.101487150191815,8053.134286868851,8139.238797765676,8543.699583718464,353.11513742616813,0,Hold
2019-10-20,42,7947.78,8300.5,7871.17,8218.23,78663.915,8084.419999999999,7946.35,8300.5,7871.17,35.450997653696334,-272.16021457578427,-313.3573750233054,41.19716044752113,8063.562857912568,8129.271743626462,8514.068642833403,358.55905618144186,0,Hold
2019-10-21,43,8218.23,8334.57,8150.0,8201.74,59928.516,8226.135,8083.004999999999,8334.57,8083.004999999999,41.98589527420068,-246.47566814890342,-299.981033648425,53.50536549952159,8117.753571941713,8146.883244785287,8495.492278779635,350.9166235970532,0,Hold
2019-10-22,44,8201.0,8290.0,8000.0,8020.89,69506.88,8127.9725,8209.985,8290.0,8000.0,39.03775236846916,-231.37423527144347,-286.2596739730287,54.88543870158526,8121.159881294476,8143.444927551598,8471.781325309981,346.5654361972637,0,Hold
2019-10-23,45,8020.68,8047.78,7172.76,7465.0,108484.139,7676.555,8110.945,8110.945,7172.76,28.96520731585568,-252.91639771478367,-279.5910187213797,26.674621006596055,7972.958254196317,8058.555849814944,8420.476401096435,390.0402264688877,0,Hold
2019-10-24,46,7465.18,7495.81,7337.44,7411.35,66719.534,7427.445,7742.84,7742.84,7337.44,25.114224045990596,-286.78394495427074,-281.02960396795794,-5.754340986312798,7791.120502797545,7943.808422575863,8356.409859090214,391.1373531496815,0,Hold
2019-10-25,47,7410.07,8800.0,7359.0,8650.0,165118.926,8054.7675,7438.265,8800.0,7359.0,44.95965466291088,-260.00733444441903,-276.82515006325013,16.817815618831105,7879.002835198364,7963.982800289343,8336.949061729556,466.12754221041854,0,Hold
2019-10-26,48,8650.0,10408.48,8626.89,9232.22,248161.161,9229.3975,8030.035,10408.48,8030.035,64.1287785764284,-142.36278393733392,-249.93267683806693,107.56989290073301,8329.134390132243,8194.058200236734,8394.52638032765,602.7216463382457,0,Hold
