datetime,Unnamed: 0,open,high,low,close,volume,signals,HA_close,HA_open,HA_high,HA_low,RSI,MACD,MACD_Signal,MACD_Hist,ema_10,ema_30,ema_200,ema_20,ATR,ADX,ADX_Pos,ADX_Neg,PSAR,trade_type
2019-10-06,28,8122.01,8148.43,7760.0,7852.79,41909.039,0,7970.807500000001,8126.07,8148.43,7760.0,17.686375063823334,-535.4652145649834,,,8300.99811849534,,,8729.116565499884,403.0429766919857,80.70197878014547,3.9429323431627123,34.47127441284798,8768.836682059607,
2019-10-07,29,7851.01,8330.0,7764.42,8186.88,62760.299,0,8033.0775,7987.4,8330.0,7764.42,20.917674268434112,-524.403951076205,,,8252.285278768913,8970.41489944665,,8662.827130690372,414.6527640711296,79.5489154643751,6.697770574389704,31.09906376350637,8683.383347494839,
2019-10-08,30,8188.55,8322.01,8103.88,8167.62,44715.165,0,8195.515000000001,8018.945,8322.01,8018.945,28.772641851454722,-496.80362838754627,,,8241.963409901839,8920.421357546868,,8618.321213481766,406.6822094946204,78.47821381401688,6.339868645063451,29.437254838047128,8604.766279695252,
2019-10-09,31,8168.33,8700.0,8113.0,8559.77,65453.643,0,8385.275000000001,8178.085,8700.0,8113.0,36.68449305131896,-454.3803142766301,,,8268.020062646958,8885.895786092231,,8596.126336007312,419.5620516735761,75.51995857589209,12.161656152151695,26.48520239087036,7700.67,
2019-10-10,32,8559.77,8640.89,8419.34,8556.02,44285.668,0,8544.005000000001,8364.05,8640.89,8364.05,42.4437058499751,-403.30232955410065,,,8318.199142165693,8863.838316021765,,8591.162399244711,409.36761941117777,72.77300728334764,11.572243120961042,25.20160061594772,7720.6566,
2019-10-11,33,8557.0,8788.0,8210.0,8255.58,69157.964,0,8452.645,8557.895,8788.0,8210.0,40.17839710254387,-365.975904719593,-467.0373767720966,101.06147205250358,8342.643843590113,8837.309714988103,,8577.97026598331,421.41278945323654,70.55132556678674,10.435118461200153,25.344145858590682,7740.243468000001,
2019-10-12,34,8255.54,8397.45,8248.34,8300.22,37761.514,0,8300.3875,8406.29,8406.29,8248.34,36.666137889608244,-344.7067866330726,-442.5712587442918,97.86447211121919,8334.960872028274,8802.669572085646,,8551.533812080137,405.9050902065768,68.48833540140876,10.058869305266942,24.430336061164944,7782.15372928,
2019-10-13,35,8300.31,8456.0,8137.3,8274.66,43820.913,0,8292.0675,8277.880000000001,8456.0,8137.3,36.478482934232424,-324.7783689113494,-419.0126807777034,94.234311866354,8327.162077114042,8769.727502918831,,8526.822734739171,399.6761551918213,66.81294698294094,9.484388855480654,25.02493920260962,7822.387580108801,
2019-10-14,36,8274.33,8381.77,8205.02,8346.05,61999.821,0,8301.7925,8287.485,8381.77,8205.02,36.885092681902485,-304.6879747543135,-396.14773957302543,91.45976481871196,8322.54942672967,8739.53814789181,,8505.39128381163,383.75285839240547,65.25722916579225,9.17154290849537,24.199482663196907,7861.012076904449,
2019-10-15,37,8346.31,8408.62,8080.0,8160.01,86246.749,0,8248.735,8310.189999999999,8408.62,8080.0,35.54814111153044,-289.70791694177205,-374.85977504677476,85.1518581050027,8309.12862186973,8707.873428672985,,8480.947828210523,379.81479707866225,64.08755272870202,8.603335007991483,25.057193396428566,7898.091593828271,
