datetime,close,high,low,open,signals
2020-11-17 10:00:00,466.91,467.41,462.72,463.05,1.0
2020-11-18 14:00:00,474.12,477.06,463.5,475.56,1.0
2020-11-25 04:00:00,590.17,590.82,580.0,585.63,-1.0
2020-11-26 12:00:00,512.58,526.7,508.66,513.05,1.0
2020-11-26 14:00:00,508.34,520.0,501.11,512.63,1.0
2020-11-26 16:00:00,496.0,513.09,480.66,508.39,1.0
2020-11-26 18:00:00,500.54,505.0,488.2,495.98,1.0
2020-11-26 20:00:00,513.94,523.94,500.28,500.53,1.0
2020-11-26 22:00:00,520.25,522.1,512.0,513.95,1.0
2020-11-27 00:00:00,525.91,530.83,515.2,520.2,1.0
2020-11-27 02:00:00,519.43,528.47,516.17,525.91,1.0
2020-11-27 04:00:00,526.85,529.0,518.56,519.44,1.0
2020-11-27 06:00:00,517.77,527.56,515.0,526.85,1.0
2020-11-27 08:00:00,504.38,518.05,502.6,517.76,1.0
2020-11-27 10:00:00,508.0,513.57,504.2,504.41,1.0
2020-11-27 12:00:00,512.04,516.52,506.6,507.99,1.0
2020-11-27 14:00:00,496.53,514.38,493.81,512.03,1.0
2020-11-27 16:00:00,504.29,507.04,493.8,496.43,1.0
2020-11-27 18:00:00,506.81,509.2,502.58,504.3,1.0
2020-11-27 20:00:00,515.76,516.44,504.5,506.8,1.0
2020-11-27 22:00:00,518.92,519.14,512.26,515.76,1.0
2020-11-28 00:00:00,520.1,520.93,513.96,518.89,1.0
2020-11-28 02:00:00,515.2,520.22,512.7,520.1,1.0
2020-11-28 04:00:00,513.33,516.21,509.61,515.2,1.0
2020-11-28 06:00:00,514.08,516.56,512.3,513.3,1.0
2020-11-28 08:00:00,510.09,517.2,507.0,514.18,1.0
2020-11-28 10:00:00,518.59,520.16,509.3,510.1,1.0
2020-11-28 12:00:00,528.09,528.53,516.3,518.6,1.0
2020-11-28 14:00:00,533.54,533.89,524.3,528.08,1.0
2020-11-28 16:00:00,541.57,542.17,533.54,533.67,1.0
2020-11-28 18:00:00,545.94,546.96,538.85,541.55,1.0
2020-11-28 20:00:00,543.05,548.0,540.5,545.94,1.0
2020-11-28 22:00:00,537.46,547.45,535.0,543.05,1.0
2020-11-29 00:00:00,534.0,539.58,530.5,537.37,1.0
2020-11-29 02:00:00,542.89,543.81,532.03,533.99,1.0
2020-11-29 04:00:00,541.19,543.21,538.2,542.88,1.0
2020-11-29 06:00:00,541.46,543.06,536.17,541.22,1.0
2020-11-29 08:00:00,550.68,554.14,540.8,541.46,1.0
2020-11-29 10:00:00,551.48,559.0,548.55,550.69,1.0
2020-12-05 04:00:00,584.77,587.44,575.7,576.35,1.0
2020-12-05 06:00:00,585.46,589.49,583.53,584.78,1.0
2020-12-05 08:00:00,593.76,598.2,585.46,585.46,1.0
2020-12-05 10:00:00,590.22,595.35,587.81,593.76,1.0
2020-12-05 12:00:00,586.79,592.84,584.54,590.13,1.0
2020-12-05 14:00:00,592.52,594.9,586.74,586.8,1.0
2020-12-05 16:00:00,594.87,596.6,589.22,592.52,1.0
2020-12-05 18:00:00,594.95,596.42,592.06,594.87,1.0
2020-12-05 20:00:00,592.02,595.78,590.53,594.95,1.0
2020-12-05 22:00:00,596.97,597.57,590.51,592.06,1.0
2020-12-06 00:00:00,604.12,607.93,596.77,596.98,1.0
2020-12-06 02:00:00,597.49,604.2,595.12,604.12,1.0
2020-12-06 04:00:00,596.82,600.32,595.0,597.48,1.0
2020-12-06 06:00:00,600.55,601.8,595.18,596.81,1.0
2020-12-06 08:00:00,590.98,601.89,586.26,600.55,1.0
2020-12-06 10:00:00,593.35,593.91,588.75,590.99,1.0
2020-12-06 12:00:00,587.61,593.4,583.2,593.39,1.0
2020-12-06 14:00:00,594.79,597.0,586.93,587.63,1.0
2020-12-06 16:00:00,595.32,598.67,591.7,594.8,1.0
2020-12-06 18:00:00,595.84,597.0,592.29,595.32,1.0
2020-12-06 20:00:00,599.24,599.69,593.12,595.83,1.0
2020-12-06 22:00:00,601.86,604.24,590.0,599.23,1.0
2020-12-08 04:00:00,595.31,595.72,588.64,589.03,1.0
2020-12-08 06:00:00,588.66,595.75,588.52,595.31,1.0
2020-12-08 12:00:00,578.78,579.57,569.04,574.05,1.0
2020-12-08 14:00:00,574.54,581.52,573.62,578.78,1.0
2020-12-08 16:00:00,577.37,578.42,570.7,574.53,1.0
2020-12-08 18:00:00,571.63,577.54,571.1,577.37,1.0
2020-12-08 20:00:00,566.8,573.91,559.41,571.62,1.0
2020-12-08 22:00:00,555.17,570.84,548.0,566.81,1.0
2020-12-09 00:00:00,547.61,557.14,541.35,555.08,1.0
2020-12-09 02:00:00,552.3,552.9,545.44,547.7,1.0
2020-12-09 04:00:00,548.82,552.9,544.92,552.34,1.0
2020-12-09 06:00:00,538.66,551.79,537.0,548.83,1.0
2020-12-09 08:00:00,548.8,550.0,531.0,538.65,1.0
2020-12-09 10:00:00,561.82,565.67,546.48,548.8,1.0
2020-12-09 12:00:00,572.32,573.0,560.21,561.77,1.0
2020-12-09 14:00:00,568.19,577.0,563.02,572.31,1.0
2020-12-09 16:00:00,569.14,575.0,562.27,568.17,1.0
2020-12-09 18:00:00,568.68,573.3,564.75,569.14,1.0
2020-12-09 20:00:00,576.08,578.62,566.7,568.67,1.0
2020-12-09 22:00:00,573.27,577.8,572.4,576.07,1.0
2020-12-10 00:00:00,569.93,575.67,565.14,573.28,1.0
2020-12-10 02:00:00,567.74,572.55,565.67,569.91,1.0
2020-12-10 04:00:00,564.18,571.88,561.76,567.74,1.0
